Date,Country,State,Market Size,Product,City,Product Line,Product Type,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Marketing,Sales,Total Expenses
01/02/2018,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,176,176,110,352,187,1181,52,374,79
01/02/2018,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,66,110,77,176,58,393,18,141,42
01/02/2018,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,22,55,55,77,37,850,10,90,22
01/02/2018,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,55,88,55,143,88,704,29,220,64
01/02/2018,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,66,110,44,176,60,470,54,142,87
01/03/2018,United Kingdom,England,Small Market,Caffe Mocha,Leeds,Beans,Espresso,Regular,55,77,44,132,63,356,20,148,50
01/03/2018,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,165,176,110,341,179,1165,50,358,76
01/03/2018,United Kingdom,England,Small Market,Lemon,Leeds,Leaves,Herbal Tea,Decaf,33,55,33,88,48,675,16,108,29
01/03/2018,United Kingdom,England,Small Market,Darjeeling,Leeds,Leaves,Tea,Regular,11,22,22,33,24,494,6,59,18
01/04/2018,United Kingdom,England,Small Market,Caffe Mocha,Leeds,Beans,Espresso,Regular,55,77,44,132,61,370,20,142,51
01/04/2018,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,66,99,33,165,58,477,52,138,84
01/04/2018,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,33,44,44,77,39,855,10,96,24
01/04/2018,United Kingdom,England,Small Market,Lemon,Leeds,Leaves,Herbal Tea,Decaf,33,66,44,99,51,669,17,117,31
01/04/2018,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,77,121,77,198,124,553,38,294,63
01/05/2018,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,66,88,33,154,53,465,17,128,66
01/05/2018,United Kingdom,England,Small Market,Lemon,Leeds,Leaves,Herbal Tea,Decaf,33,55,33,88,48,663,16,109,29
01/05/2018,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,77,121,77,198,126,611,39,301,64
01/05/2018,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,55,77,44,132,47,423,15,114,40
01/06/2018,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,55,99,44,154,52,502,17,124,68
01/06/2018,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,22,44,44,66,31,898,8,76,21
01/07/2018,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,44,77,22,121,43,569,40,105,73
01/07/2018,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,44,77,22,121,43,526,14,104,61
01/07/2018,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,77,33,121,57,461,21,127,58
01/08/2018,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,55,99,44,154,52,522,17,126,65
01/08/2018,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,22,33,33,55,28,909,8,69,20
01/08/2018,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,77,132,88,209,126,891,41,315,75
01/08/2018,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,66,22,110,54,456,20,120,57
01/09/2018,United Kingdom,England,Small Market,Lemon,Leeds,Leaves,Herbal Tea,Decaf,55,77,55,132,68,637,22,154,36
01/09/2018,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,55,88,55,143,48,467,15,118,40
01/10/2018,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,11,33,33,44,28,902,8,68,21
01/10/2018,United Kingdom,England,Small Market,Lemon,Leeds,Leaves,Herbal Tea,Decaf,66,110,99,176,99,630,32,226,47
01/10/2018,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,33,66,55,99,91,867,30,226,65
01/10/2018,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,44,66,55,110,101,722,31,240,57
01/10/2018,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,77,110,55,187,57,554,51,135,84
01/10/2018,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,88,143,99,231,66,510,21,159,70
01/10/2018,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,55,110,88,165,48,461,15,118,39
01/10/2018,United Kingdom,England,Small Market,Caffe Mocha,Leeds,Beans,Espresso,Regular,33,77,66,110,58,446,19,136,49
01/11/2018,United Kingdom,England,Small Market,Lemon,Leeds,Leaves,Herbal Tea,Decaf,88,110,77,198,97,618,32,220,47
01/11/2018,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,55,99,55,154,86,878,28,217,63
01/11/2018,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,77,110,77,187,113,733,35,270,60
01/11/2018,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,66,99,44,165,59,517,19,141,68
01/12/2018,United Kingdom,England,Small Market,Darjeeling,Leeds,Leaves,Tea,Regular,22,33,33,55,32,539,9,81,21
01/12/2018,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,66,110,66,176,97,899,32,244,66
01/12/2018,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,55,11,99,51,465,19,114,57
01/12/2018,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,165,154,88,319,169,1451,47,337,73
01/01/2019,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,176,176,110,352,187,1201,52,421,84
01/01/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,77,110,77,187,63,401,20,173,48
01/02/2019,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,55,99,66,154,95,539,29,242,54
01/02/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,66,110,77,176,58,393,18,150,42
01/03/2019,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,55,99,66,154,93,696,30,247,64
01/03/2019,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,55,99,66,154,98,530,30,251,57
01/03/2019,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,66,99,33,165,58,464,52,147,84
01/03/2019,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,77,121,66,198,69,424,22,175,70
01/03/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,66,99,66,165,54,387,17,142,42
01/04/2019,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,33,44,44,77,39,855,10,103,24
01/04/2019,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,77,121,77,198,124,553,38,314,63
01/04/2019,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,55,66,22,121,60,371,22,142,60
01/04/2019,United Kingdom,England,Small Market,Caffe Mocha,Leeds,Beans,Espresso,Regular,55,77,44,132,61,370,20,151,51
01/04/2019,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,165,176,110,341,179,1201,50,381,77
01/05/2019,United Kingdom,England,Small Market,Caffe Mocha,Leeds,Beans,Espresso,Regular,44,77,44,121,58,398,19,135,46
01/05/2019,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,66,110,44,176,59,504,53,140,80
01/05/2019,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,66,88,33,154,53,465,17,127,62
01/05/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,55,77,44,132,47,423,15,113,37
01/06/2019,United Kingdom,England,Small Market,Darjeeling,Leeds,Leaves,Tea,Regular,11,11,11,22,20,526,6,49,18
01/06/2019,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,77,33,121,57,436,21,126,54
01/07/2019,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,77,33,121,57,461,21,126,53
01/08/2019,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,22,33,33,55,28,909,8,68,19
01/08/2019,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,44,77,22,121,41,565,37,97,65
01/08/2019,United Kingdom,England,Small Market,Colombian,Leeds,Beans,Coffee,Regular,55,99,44,154,52,522,17,125,61
01/08/2019,United Kingdom,England,Small Market,Caffe Mocha,Leeds,Beans,Espresso,Regular,44,66,33,110,51,457,17,118,44
01/09/2019,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,66,99,66,165,106,733,32,270,59
01/09/2019,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,55,11,99,50,450,19,120,57
01/09/2019,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,154,165,99,319,171,1408,48,363,75
01/10/2019,United Kingdom,England,Small Market,Darjeeling,Leeds,Leaves,Tea,Regular,0,22,22,22,24,528,6,62,18
01/10/2019,United Kingdom,England,Small Market,Chamomile,Leeds,Leaves,Herbal Tea,Decaf,11,33,33,44,28,902,8,72,21
01/10/2019,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,66,44,110,60,445,22,141,60
01/10/2019,United Kingdom,England,Small Market,Decaf Irish Cream,Leeds,Beans,Coffee,Decaf,55,110,88,165,48,461,15,126,39
01/11/2019,United Kingdom,England,Small Market,Green Tea,Leeds,Leaves,Tea,Regular,77,110,77,187,113,733,35,288,60
01/11/2019,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,187,198,132,385,200,1412,55,426,82
01/11/2019,United Kingdom,England,Small Market,Amaretto,Leeds,Beans,Coffee,Regular,66,88,11,154,58,560,52,147,85
01/12/2019,United Kingdom,England,Small Market,Earl Grey,Leeds,Leaves,Tea,Regular,66,110,66,176,97,899,32,260,66
01/12/2019,United Kingdom,England,Small Market,Caffe Latte,Leeds,Beans,Espresso,Regular,44,55,11,99,51,465,19,121,57
01/12/2019,United Kingdom,England,Small Market,Decaf Espresso,Leeds,Beans,Espresso,Decaf,165,154,88,319,169,1451,47,359,73
01/01/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,121,88,209,92,686,30,209,43
01/01/2018,United Kingdom,Wales,Major Market,Decaf Irish Cream,Barry,Beans,Coffee,Decaf,110,154,121,264,105,904,29,258,42
01/01/2018,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,154,176,121,330,187,1201,52,376,80
01/01/2018,United Kingdom,Wales,Major Market,Mint,Barry,Leaves,Herbal Tea,Decaf,55,77,44,132,66,370,21,154,52
01/02/2018,United Kingdom,Wales,Major Market,Green Tea,Barry,Leaves,Tea,Regular,33,55,33,88,49,680,16,110,29
01/02/2018,United Kingdom,Wales,Major Market,Caffe Mocha,Barry,Beans,Espresso,Regular,88,154,121,242,85,494,24,208,36
01/02/2018,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,154,165,110,319,187,1181,52,374,79
01/02/2018,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,77,11,121,60,470,54,142,86
01/03/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,132,99,220,93,664,30,213,44
01/03/2018,United Kingdom,Wales,Major Market,Decaf Espresso,Barry,Beans,Espresso,Decaf,88,143,88,231,80,596,26,198,60
01/03/2018,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,77,22,121,58,464,52,138,85
01/03/2018,United Kingdom,Wales,Major Market,Darjeeling,Barry,Leaves,Tea,Regular,44,77,22,121,64,358,25,142,61
01/04/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,110,77,198,86,653,28,196,41
01/05/2018,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,132,154,99,286,164,1272,46,328,73
01/06/2018,United Kingdom,Wales,Major Market,Earl Grey,Barry,Leaves,Tea,Regular,44,66,33,110,59,1131,18,129,41
01/06/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,121,88,209,92,632,30,209,43
01/07/2018,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,33,55,0,88,43,569,40,105,73
01/07/2018,United Kingdom,Wales,Major Market,Darjeeling,Barry,Leaves,Tea,Regular,44,66,22,110,57,461,21,127,58
01/07/2018,United Kingdom,Wales,Major Market,Decaf Irish Cream,Barry,Beans,Coffee,Decaf,143,209,165,352,140,1108,39,344,51
01/07/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,99,121,88,220,96,621,31,219,46
01/08/2018,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,33,44,0,77,41,565,37,98,69
01/08/2018,United Kingdom,Wales,Major Market,Earl Grey,Barry,Leaves,Tea,Regular,33,55,22,88,46,1151,14,101,38
01/09/2018,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,143,154,99,297,171,1408,48,341,75
01/09/2018,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,77,22,121,58,560,52,139,84
01/09/2018,United Kingdom,Wales,Major Market,Darjeeling,Barry,Leaves,Tea,Regular,33,55,11,88,50,450,19,113,55
01/09/2018,United Kingdom,Wales,Major Market,Green Tea,Barry,Leaves,Tea,Regular,55,77,55,132,68,637,22,154,36
01/09/2018,United Kingdom,Wales,Major Market,Amaretto,Barry,Beans,Coffee,Regular,143,198,154,341,136,1021,38,333,50
01/09/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,66,77,55,143,64,603,21,146,36
01/09/2018,United Kingdom,Wales,Major Market,Decaf Irish Cream,Barry,Beans,Coffee,Decaf,110,165,132,275,110,1080,31,270,43
01/10/2018,United Kingdom,Wales,Major Market,Mint,Barry,Leaves,Herbal Tea,Decaf,33,66,55,99,58,446,19,136,50
01/10/2018,United Kingdom,Wales,Major Market,Amaretto,Barry,Beans,Coffee,Regular,132,198,176,330,136,1007,38,333,51
01/11/2018,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,187,176,110,363,200,1412,55,400,83
01/11/2018,United Kingdom,Wales,Major Market,Decaf Irish Cream,Barry,Beans,Coffee,Decaf,88,121,88,209,90,1083,25,218,37
01/11/2018,United Kingdom,Wales,Major Market,Amaretto,Barry,Beans,Coffee,Regular,121,187,143,308,130,1023,37,319,49
01/11/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,33,66,44,99,44,590,15,102,28
01/12/2018,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,66,0,110,52,574,47,124,79
01/12/2018,United Kingdom,Wales,Major Market,Caffe Mocha,Barry,Beans,Espresso,Regular,66,121,99,187,60,662,17,147,29
01/12/2018,United Kingdom,Wales,Major Market,Decaf Espresso,Barry,Beans,Espresso,Decaf,88,143,88,231,74,745,25,185,60
01/12/2018,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,44,55,33,99,48,585,16,109,30
01/01/2019,United Kingdom,Wales,Major Market,Mint,Barry,Leaves,Herbal Tea,Decaf,55,77,44,132,66,370,21,173,54
01/02/2019,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,154,165,110,319,187,1181,52,399,79
01/02/2019,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,77,11,121,60,470,54,151,86
01/02/2019,United Kingdom,Wales,Major Market,Darjeeling,Barry,Leaves,Tea,Regular,55,66,11,121,65,365,25,156,61
01/02/2019,United Kingdom,Wales,Major Market,Earl Grey,Barry,Leaves,Tea,Regular,55,66,33,121,69,1054,21,160,44
01/02/2019,United Kingdom,Wales,Major Market,Green Tea,Barry,Leaves,Tea,Regular,33,55,33,88,49,680,16,118,29
01/02/2019,United Kingdom,Wales,Major Market,Decaf Espresso,Barry,Beans,Espresso,Decaf,88,154,99,242,83,604,27,222,61
01/03/2019,United Kingdom,Wales,Major Market,Chamomile,Barry,Leaves,Herbal Tea,Decaf,143,165,110,308,179,1165,50,381,76
01/03/2019,United Kingdom,Wales,Major Market,Mint,Barry,Leaves,Herbal Tea,Decaf,44,77,44,121,63,356,20,158,51
01/03/2019,United Kingdom,Wales,Major Market,Darjeeling,Barry,Leaves,Tea,Regular,44,77,22,121,64,358,25,151,61
01/03/2019,United Kingdom,Wales,Major Market,Earl Grey,Barry,Leaves,Tea,Regular,55,66,33,121,69,1048,21,159,46
01/03/2019,United Kingdom,Wales,Major Market,Decaf Espresso,Barry,Beans,Espresso,Decaf,88,143,88,231,80,596,26,212,60
01/03/2019,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,132,99,220,93,664,30,227,44
01/04/2019,United Kingdom,Wales,Major Market,Amaretto,Barry,Beans,Coffee,Regular,99,154,121,253,101,855,28,262,40
01/04/2019,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,110,77,198,86,653,28,209,41
01/05/2019,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,77,11,121,59,504,53,140,81
01/05/2019,United Kingdom,Wales,Major Market,Green Tea,Barry,Leaves,Tea,Regular,33,55,33,88,48,663,16,108,27
01/05/2019,United Kingdom,Wales,Major Market,Caffe Mocha,Barry,Beans,Espresso,Regular,99,165,132,264,95,549,27,229,37
01/06/2019,United Kingdom,Wales,Major Market,Darjeeling,Barry,Leaves,Tea,Regular,44,66,22,110,57,436,21,126,54
01/06/2019,United Kingdom,Wales,Major Market,Green Tea,Barry,Leaves,Tea,Regular,33,55,33,88,48,657,16,108,28
01/06/2019,United Kingdom,Wales,Major Market,Decaf Espresso,Barry,Beans,Espresso,Decaf,66,99,55,165,60,706,19,148,50
01/06/2019,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,88,121,88,209,92,632,30,207,40
01/07/2019,United Kingdom,Wales,Major Market,Green Tea,Barry,Leaves,Tea,Regular,33,55,33,88,46,652,15,103,27
01/08/2019,United Kingdom,Wales,Major Market,Colombian,Barry,Beans,Coffee,Regular,55,77,55,132,58,610,19,131,30
01/09/2019,United Kingdom,Wales,Major Market,Lemon,Barry,Leaves,Herbal Tea,Decaf,44,77,22,121,58,560,52,148,84
